package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
boo.kodeeverse.composemagic.<get-currentRecomposeScopeLabel>,<get-currentRecomposeScopeLabel>,1,0,0,1,1,0,0,0,1,1,
boo.kodeeverse.composemagic.composableLambda.InlineLambdaComposableDemo,InlineLambdaComposableDemo,1,1,1,0,0,0,0,0,1,2,
boo.kodeeverse.composemagic.composableLambda.NonInlineLambdaComposableDemo,NonInlineLambdaComposableDemo,1,1,1,0,0,0,0,0,1,2,
boo.kodeeverse.composemagic.composableLambda.InlineLambdaComposable,InlineLambdaComposable,1,0,0,0,1,0,0,0,1,1,
boo.kodeeverse.composemagic.composableLambda.NonInlineLambdaComposable,NonInlineLambdaComposable,1,1,1,0,0,0,0,0,1,1,
